Year,Make,Model,Trim,Type,Price,Mileage,Accidents,Owners,Usage,car_url,Miles_threshold
2021,Mazda,CX-5,Touring,SUV,22995.0,32676.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM3M0451065/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,23921.0,13344.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM9M0363511/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,24998.0,20460.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFACM8M0413227/?radius=25,45000
2022,Mazda,CX-5,2.5 S,SUV,23214.0,18669.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2022/vin/JM3KFBAM8N0576213/?radius=25,30000
2021,Mazda,CX-5,Sport,SUV,21998.0,22234.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBBM1M1314766/?radius=25,45000
2021,Mazda,CX-5,Sport,SUV,20569.0,24003.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBBM4M0350523/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,24998.0,10067.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFACM7M0450897/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,22428.0,26354.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM0M0360206/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,22889.0,26445.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM9M0333134/?radius=25,45000
2021,Mazda,CX-5,Carbon Edition,SUV,24896.0,17103.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM1M0429839/?radius=25,45000
2022,Mazda,CX-5,2.5 S Preferred,SUV,25735.0,15597.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2022/vin/JM3KFBCM8N1563369/?radius=25,30000
2021,Mazda,CX-5,Touring,SUV,23490.0,7955.0,0,1,Personal use only,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFACM2M1367131/?radius=25,45000
2020,Mazda,CX-5,Touring,SUV,21998.0,21206.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFBCM5L0863292/?radius=25,60000
2021,Mazda,CX-5,Touring,SUV,23219.0,25390.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM3M1355656/?radius=25,45000
2021,Mazda,CX-5,Grand Touring,SUV,23628.0,31027.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM5M1420909/?radius=25,45000
2021,Mazda,CX-5,Grand Touring,SUV,23828.0,30151.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM6M1495991/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,22235.0,26225.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM1M0372459/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,24342.0,13439.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM1M1389238/?radius=25,45000
2021,Mazda,CX-5,Carbon Edition,SUV,25399.0,21287.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM8M0364164/?radius=25,45000
2021,Mazda,CX-5,Grand Touring,SUV,25495.0,5888.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM1M1479682/?radius=25,45000
2022,Mazda,CX-5,2.5 S Preferred,SUV,24828.0,17876.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2022/vin/JM3KFBCM3N1551923/?radius=25,30000
2021,Mazda,CX-5,Sport,SUV,20959.0,25915.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBBM6M1315962/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,22428.0,32041.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM2M0362667/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,23997.0,23089.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM1M0380089/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,21404.0,43679.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM6M1309576/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,22900.0,25038.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM5M0333132/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,21588.0,37485.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM4M0301921/?radius=25,45000
2021,Mazda,CX-5,Grand Touring,SUV,24998.0,21215.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFADM7M0379425/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,21998.0,33634.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCMXM1316935/?radius=25,45000
2021,Mazda,CX-5,Grand Touring,SUV,24740.0,18900.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM3M1447414/?radius=25,45000
2021,Mazda,CX-5,Grand Touring,SUV,22928.0,31430.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM0M0371754/?radius=25,45000
