year,make,model,trim,doors,type,mileage,price,cyl,dealer,Title Details,Salvage Vehicle,Frame Damage,Theft History,Lemon Status,VIN,Certified Pre-Owned,Accidents,Owners,Usage,Listed since,car_url
2020,Toyota,RAV4,XLE,4dr,SUV,80657,16500.0,4cyl Automatic,Auto Outlet (19 mi away),Clean Title,No,No,No,No,2T3P1RFV5LC104553,No,No accidents, 3 Owners, Corporate fleet vehicle,2023-09-26,https://www.edmunds.com/toyota/rav4/2020/vin/2T3P1RFV5LC104553/?radius=25
2020,Toyota,RAV4,XLE,Premium,4dr,36371,18900.0,4cyl Automatic,Auto Outlet (19 mi away),Clean Title,No,No,No,No,2T3C1RFV9LW092601,No,No accidents, 4 Owners, Corporate fleet vehicle,2023-09-26,https://www.edmunds.com/toyota/rav4/2020/vin/2T3C1RFV9LW092601/?radius=25
2021,Toyota,RAV4,LE,4dr,SUV,34171,19505.0,4cyl Automatic,JD Motors (19 mi away),Clean Title,No,No,No,No,2T3F1RFV4MC151912,No,No accidents, 2 Owners, Corporate fleet vehicle,2024-01-25,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV4MC151912/?radius=25
2021,Toyota,RAV4,Adventure,4dr,SUV,65860,19695.0,4cyl Automatic,Power Motors NYC (18 mi away),Clean Title,No,No,No,No,2T3J1RFV3MW161727,No,No accidents, 1 Owner, Rental vehicle,2024-01-09,https://www.edmunds.com/toyota/rav4/2021/vin/2T3J1RFV3MW161727/?radius=25
2022,Toyota,RAV4,XLE,4dr,SUV,57779,21985.0,4cyl Automatic,Certified Luxury Motors of Valley Stream (23 mi away),Clean Title,No,No,No,No,2T3P1RFV6NW298155,No,No accidents, 1 Owner, Personal use only,2024-02-14,https://www.edmunds.com/toyota/rav4/2022/vin/2T3P1RFV6NW298155/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,63233,18988.0,4cyl Automatic,Auto Lux (23 mi away),Clean Title,No,No,No,No,2T3P1RFV3MW158188,No,No accidents, 1 Owner, Rental vehicle,2024-01-24,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV3MW158188/?radius=25
2020,Toyota,RAV4,Base,4dr,SUV,76523,17500.0,4cyl Automatic,JD Motors (19 mi away),Clean Title,No,No,No,No,2T3H1RFV9LW066375,No,No accidents, 3 Owners, Personal use,2024-01-24,https://www.edmunds.com/toyota/rav4/2020/vin/2T3H1RFV9LW066375/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,26623,23990.0,4cyl Automatic,Stream Auto Outlet (23 mi away),Clean Title,No,No,No,No,2T3P1RFV7MC145686,No,No accidents, 1 Owner, Personal use,2024-04-08,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV7MC145686/?radius=25
2020,Toyota,RAV4,XLE,4dr,SUV,44709,22500.0,4cyl Automatic,JD Motors (19 mi away),Clean Title,No,No,No,No,JTMP1RFV9LD530645,No,No accidents, 2 Owners, Personal use only,2024-03-22,https://www.edmunds.com/toyota/rav4/2020/vin/JTMP1RFV9LD530645/?radius=25
2021,Toyota,RAV4,Adventure,4dr,SUV,65229,21549.0,4cyl Automatic,Power Motors NYC (18 mi away),Clean Title,No,No,No,No,2T3J1RFV2MW162741,No,No accidents, 1 Owner, Rental vehicle,2024-02-09,https://www.edmunds.com/toyota/rav4/2021/vin/2T3J1RFV2MW162741/?radius=25
2019,Toyota,RAV4,LE,4dr,SUV,25883,21420.0,4cyl Automatic,Lexus of Manhattan (9 mi away),Clean Title,No,No,No,No,JTMF1RFV7KD506533,No,No accidents, 1 Owner, Personal use only,2024-02-08,https://www.edmunds.com/toyota/rav4/2019/vin/JTMF1RFV7KD506533/?radius=25
2023,Toyota,RAV4,Adventure,4dr,SUV,24121,28885.0,4cyl Automatic,Certified Luxury Motors of Valley Stream (23 mi away),Clean Title,No,No,No,No,2T3J1RFV3PW374424,No,No accidents, 1 Owner, Personal use only,2024-03-22,https://www.edmunds.com/toyota/rav4/2023/vin/2T3J1RFV3PW374424/?radius=25
2020,Toyota,RAV4,XLE,4dr,SUV,47908,18500.0,4cyl Automatic,Auto Outlet (19 mi away),Clean Title,No,No,No,No,2T3W1RFV2LC049541,No,1 Accident, 2 Owners, Corporate fleet vehicle,2023-11-20,https://www.edmunds.com/toyota/rav4/2020/vin/2T3W1RFV2LC049541/?radius=25
2018,Toyota,RAV4,XLE,4dr,SUV,89703,15898.0,4cyl Automatic,95 Auto (11 mi away),Clean Title,No,No,No,No,JTMRFREV8JJ739854,No,No accidents, 2 Owners, Personal use,2024-04-03,https://www.edmunds.com/toyota/rav4/2018/vin/JTMRFREV8JJ739854/?radius=25
2023,Toyota,RAV4,Adventure,4dr,SUV,25620,28885.0,4cyl Automatic,Certified Luxury Motors of Valley Stream (23 mi away),Clean Title,No,No,No,No,2T3J1RFVXPW358298,No,No accidents, 1 Owner, Rental vehicle,2024-03-22,https://www.edmunds.com/toyota/rav4/2023/vin/2T3J1RFVXPW358298/?radius=25
2018,Toyota,RAV4,XLE,4dr,SUV,44833,17500.0,4cyl Automatic,Auto Outlet (19 mi away),Clean Title,No,No,No,No,2T3RFREV0JW754575,No,1 Accident, 2 Owners, Corporate fleet vehicle,2023-09-26,https://www.edmunds.com/toyota/rav4/2018/vin/2T3RFREV0JW754575/?radius=25
