Year,Make,Model,Trim,Doors,Type,price,Mileage,Accidents,Owners,Usage,Title Details,Salvage Vehicle,Frame Damage,Theft History,Lemon Status,Certified Pre-Owned,Listed since,car_url
2018,Toyota,RAV4,XLE,4dr,SUV,16696.0,86565.0,0,2,Personal use only,Clean Title,No,No,No,No,No,2024-03-13,https://www.edmunds.com/toyota/rav4/2018/vin/2T3RFREV7JW822385/?radius=25
2021,Toyota,RAV4,LE,4dr,SUV,24995.0,31148.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2024-04-02,https://www.edmunds.com/toyota/rav4/2021/vin/JTMG1RFV9MD075684/?radius=25
2018,Toyota,RAV4,XLE,4dr,SUV,17500.0,67610.0,2,5,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2023-12-14,https://www.edmunds.com/toyota/rav4/2018/vin/2T3RFREV9JW789941/?radius=25
2023,Toyota,RAV4,Adventure,4dr,SUV,30885.0,24796.0,0,1,Personal use only,Clean Title,No,No,No,No,No,2024-03-22,https://www.edmunds.com/toyota/rav4/2023/vin/2T3J1RFV7PW364589/?radius=25
2018,Toyota,RAV4,LE,4dr,SUV,17300.0,41670.0,2,4,Personal use only,Clean Title,No,No,No,No,No,2023-09-26,https://www.edmunds.com/toyota/rav4/2018/vin/JTMZFREV8JJ731365/?radius=25
2021,Toyota,RAV4,LE,4dr,SUV,23991.0,28076.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-03-19,https://www.edmunds.com/toyota/rav4/2021/vin/2T3G1RFVXMC197393/?radius=25
2020,Toyota,RAV4,Adventure,4dr,SUV,27487.0,59204.0,0,1,Rental vehicle,Clean Title,No,No,No,No,Yes,2023-10-16,https://www.edmunds.com/toyota/rav4/2020/vin/2T3J1RFV0LC079163/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,24999.0,40510.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-03-20,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV0MC193529/?radius=25
2020,Toyota,RAV4,LE,4dr,SUV,22999.0,33662.0,0,1,Personal use only,Clean Title,No,No,No,No,No,2024-03-23,https://www.edmunds.com/toyota/rav4/2020/vin/2T3F1RFV6LC065936/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,28258.0,16983.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2024-04-02,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV8MW207384/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,27977.0,26792.0,0,1,Personal use only,Clean Title,No,No,No,No,Yes,2024-04-01,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV7MW207571/?radius=25
2019,Toyota,RAV4,XLE,4dr,SUV,21400.0,45583.0,1,3,Personal use only,Clean Title,No,No,No,No,No,2023-12-22,https://www.edmunds.com/toyota/rav4/2019/vin/2T3P1RFV4KW056847/?radius=25
2018,Toyota,RAV4,LE,4dr,SUV,16000.0,44164.0,3,2,Personal use,Clean Title,No,No,No,No,No,2023-09-26,https://www.edmunds.com/toyota/rav4/2018/vin/2T3BFREV8JW734110/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,24390.0,40488.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-01-29,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV7MW177634/?radius=25
2014,Toyota,RAV4,LE,4dr,SUV,9499.0,165026.0,1,3,Corporate fleet vehicle,Clean Title,No,No,No,No,No,,https://www.edmunds.com/toyota/rav4/2014/vin/2T3BFREV2EW218976/?radius=25
2018,Toyota,RAV4,LE,4dr,SUV,16500.0,56682.0,1,3,Personal use only,Clean Title,No,No,No,No,No,2023-12-20,https://www.edmunds.com/toyota/rav4/2018/vin/JTMZFREV0JJ199173/?radius=25
2021,Toyota,RAV4,LE,4dr,SUV,23264.0,32568.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-01-15,https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV8MC164095/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,22499.0,59613.0,0,1,Personal use only,Clean Title,No,No,No,No,No,2024-03-14,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV8MC221948/?radius=25
2018,Toyota,RAV4,LE,4dr,SUV,17924.0,22657.0,2,3,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2023-09-26,https://www.edmunds.com/toyota/rav4/2018/vin/JTMBFREV2JJ218761/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,24795.0,34729.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-02-17,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV8MW200189/?radius=25
2012,Toyota,RAV4,Sport,4dr,SUV,10995.0,136118.0,2,1,Personal use only,Clean Title,No,No,No,No,No,,https://www.edmunds.com/toyota/rav4/2012/vin/JTMRK4DV7C5109366/?radius=25
2015,Toyota,RAV4,Limited,4dr,SUV,17199.0,61393.0,1,3,Corporate fleet vehicle,Clean Title,No,No,No,No,No,,https://www.edmunds.com/toyota/rav4/2015/vin/2T3DFREV7FW392021/?radius=25
2021,Toyota,RAV4,LE,4dr,SUV,24699.0,22620.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-04-06,https://www.edmunds.com/toyota/rav4/2021/vin/2T3G1RFV4MC192383/?radius=25
2021,Toyota,RAV4,XLE,4dr,SUV,23899.0,54000.0,0,1,Personal use only,Clean Title,No,No,No,No,No,2024-04-10,https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV0MC199363/?radius=25
2022,Toyota,RAV4,LE,4dr,SUV,23201.0,45891.0,0,1,Rental vehicle,Clean Title,No,No,No,No,No,,https://www.edmunds.com/toyota/rav4/2022/vin/2T3F1RFV3NC289300/?radius=25
2018,Toyota,RAV4,XLE,4dr,SUV,14299.0,137065.0,2,4,Corporate fleet vehicle,Clean Title,No,No,No,No,No,,https://www.edmunds.com/toyota/rav4/2018/vin/2T3RFREV1JW705790/?radius=25
2008,Toyota,RAV4,Sport,4dr,SUV,7999.0,153301.0,1,3,Corporate fleet vehicle,Clean Title,No,No,No,No,No,,https://www.edmunds.com/toyota/rav4/2008/vin/JTMBK32V885066565/?radius=25
