Year,Make,Model,Trim,Doors,Type,price,Mileage,Accidents,Owners,Usage,Title Details,Salvage Vehicle,Frame Damage,Theft History,Lemon Status,Certified Pre-Owned,Listed since,car_url
2019,Honda,CR-V,EX-L,4dr,SUV,19695.0,67406.0,0,2,Personal use only,Clean Title,No,No,No,No,No,,https://www.edmunds.com/honda/cr-v/2019/vin/2HKRW2H85KH623650/?radius=25
2019,Honda,CR-V,LX,4dr,SUV,16505.0,68748.0,0,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2024-01-25,https://www.edmunds.com/honda/cr-v/2019/vin/2HKRW6H32KH211567/?radius=25
2013,Honda,CR-V,EX-L,4dr,SUV,9599.0,151963.0,2,2,Personal use,Clean Title,No,No,No,No,No,,https://www.edmunds.com/honda/cr-v/2013/vin/5J6RM4H74DL063671/?radius=25
2020,Honda,CR-V,Touring,4dr,SUV,25491.0,19008.0,0,1,Personal use only,Clean Title,No,No,No,No,No,,https://www.edmunds.com/honda/cr-v/2020/vin/2HKRW2H93LH653479/?radius=25
2020,Honda,CR-V,LX,4dr,SUV,19905.0,50190.0,0,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2024-03-29,https://www.edmunds.com/honda/cr-v/2020/vin/2HKRW1H21LH409665/?radius=25
2021,Honda,CR-V,EX,4dr,SUV,23998.0,22621.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-03-01,https://www.edmunds.com/honda/cr-v/2021/vin/2HKRW2H55MH638125/?radius=25
2019,Honda,CR-V,EX-L,4dr,SUV,20500.0,39473.0,2,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2024-03-22,https://www.edmunds.com/honda/cr-v/2019/vin/7FARW2H8XKE041823/?radius=25
2019,Honda,CR-V,EX-L,4dr,SUV,23041.0,23287.0,0,1,Personal use,Clean Title,No,No,No,No,No,,https://www.edmunds.com/honda/cr-v/2019/vin/7FARW2H86KE031399/?radius=25
2021,Honda,CR-V,EX,4dr,SUV,24159.0,16263.0,0,1,Personal use,Clean Title,No,No,No,No,No,,https://www.edmunds.com/honda/cr-v/2021/vin/2HKRW2H51MH660378/?radius=25
2019,Honda,CR-V,EX-L,4dr,SUV,18998.0,85347.0,0,1,Personal use only,Clean Title,No,No,No,No,No,2024-03-19,https://www.edmunds.com/honda/cr-v/2019/vin/7FARW2H8XKE039005/?radius=25
2020,Honda,CR-V,EX,4dr,SUV,22777.0,46002.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2024-02-14,https://www.edmunds.com/honda/cr-v/2020/vin/5J6RW2H56LA019033/?radius=25
2021,Honda,CR-V,Touring,4dr,SUV,27995.0,22302.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2024-01-06,https://www.edmunds.com/honda/cr-v/2021/vin/2HKRW2H99MH608192/?radius=25
2023,Honda,CR-V,LX,4dr,SUV,28990.0,10008.0,0,1,Personal use,Clean Title,No,No,No,No,Yes,2024-04-02,https://www.edmunds.com/honda/cr-v/2023/vin/2HKRS4H21PH422628/?radius=25
2019,Honda,CR-V,EX,4dr,SUV,20439.0,45641.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-03-29,https://www.edmunds.com/honda/cr-v/2019/vin/2HKRW2H55KH643239/?radius=25
2020,Honda,CR-V,EX,4dr,SUV,20700.0,37541.0,1,2,Personal use only,Clean Title,No,No,No,No,No,2024-03-22,https://www.edmunds.com/honda/cr-v/2020/vin/5J6RW2H56LL042123/?radius=25
