year_make_model,trim_style,price,url,mileage,accidents_owners_usage,Accident Free Vehicle,Personal Use Only,History Provider,Title Details,Salvage Vehicle,Frame Damage,Theft History,Lemon Status,Free History Report,VIN,Stock,Certified Pre-Owned,Listed since
Certified 2021 Honda Pilot,SE 4dr SUV,"$29,994",https://www.edmunds.com/honda/pilot/2021/vin/5FNYF6H29MB075197/?radius=25,"29,795 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,5FNYF6H29MB075197,HHMB075197U,Yes,04-04-2024
2022 Honda Pilot,Sport 4dr SUV,"$29,988",https://www.edmunds.com/honda/pilot/2022/vin/5FNYF6H32NB078873/?radius=25,"11,537 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,5FNYF6H32NB078873,V7789T,No,11-29-2023
Certified 2021 Honda Pilot,EX-L 4dr SUV,"$28,892",https://www.edmunds.com/honda/pilot/2021/vin/5FNYF6H55MB088006/?radius=25,"29,349 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,5FNYF6H55MB088006,HHMB088006U,Yes,03-29-2024
2022 Toyota RAV4,XLE 4dr SUV,"$29,491",https://www.edmunds.com/toyota/rav4/2022/vin/2T3P1RFV4NC305508/?radius=25,"9,923 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2T3P1RFV4NC305508,V19919,No,12-22-2023
2021 Honda Pilot,SE 4dr SUV,"$26,998",https://www.edmunds.com/honda/pilot/2021/vin/5FNYF6H25MB079277/?radius=25,"48,454 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,5FNYF6H25MB079277,STK079277,No,02-14-2024
2021 Toyota RAV4,XLE 4dr SUV,"$21,999",https://www.edmunds.com/toyota/rav4/2021/vin/2T3P1RFV8MC221948/?radius=25,"59,613 miles","No accidents, 1 Owner, Personal use only",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2T3P1RFV8MC221948,I4558P,No,03-14-2024
2023 Mazda CX-5,2.5 S Premium 4dr SUV,"$24,990",https://www.edmunds.com/mazda/cx-5/2023/vin/JM3KFBDM5P0190623/?radius=25,"22,571 miles","No accidents, Personal use only",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,JM3KFBDM5P0190623,U17855,No,04-08-2024
2022 Honda CR-V,EX-L 4dr SUV,"$28,664",https://www.edmunds.com/honda/cr-v/2022/vin/2HKRW2H89NH670779/?radius=25,"10,346 miles","No accidents, 1 Owner, Personal use only",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HKRW2H89NH670779,U18471,No,03-25-2024
2021 Mazda CX-5,Grand Touring 4dr SUV,"$23,995",https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDMXM0377481/?radius=25,"12,143 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,JM3KFBDMXM0377481,U03612,No,04-16-2024
2021 Honda Pilot,Touring 4dr SUV,"$28,995",https://www.edmunds.com/honda/pilot/2021/vin/5FNYF6H91MB051280/?radius=25,"54,587 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,5FNYF6H91MB051280,17831,No,02-27-2024
Certified 2024 Honda CR-V,EX 4dr SUV,"$31,990",https://www.edmunds.com/honda/cr-v/2024/vin/2HKRS4H49RH407315/?radius=25,"4,903 miles","No accidents, 1 Owner, Personal use only",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HKRS4H49RH407315,66075A,Yes,04-13-2024
